4020,9.6583806276e-10,676.993976214,2.26538470595e-19,546.937344572,102325.597591,72.75,1373,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 592.6973089191481, 'mass': 4.5e-26}]",3,1,False,7.12002015733e-09,1
3883,9.32922685994e-10,651.135462986,2.26538470595e-19,546.937344572,102251.628506,60.4,1116,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 592.6973089191481, 'mass': 4.5e-26}]",3,1,False,7.12002015733e-09,1
4102,9.85539237174e-10,664.59940268,2.26538470595e-19,546.937344572,102024.907398,69.75,1351,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 592.6973089191481, 'mass': 4.5e-26}]",3,1,False,7.12002015733e-09,1

frame_no,simulated_duration,average_velocity,total_kinetic_energy,temperature,pressure,average_collisions,collisions on container,gases,dimensions,simulation_method,animation,container_radius,velocity_seed
4199,9.88611548102e-10,662.329270465,2.55818953189e-19,617.629926523,102012.790769,62.65,1191,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 629.83723521013178, 'mass': 4.5e-26}]",3,1,False,7.41443634381e-09,1
4158,9.78958517983e-10,715.444587995,2.55818953189e-19,617.629926523,102016.598895,66.0,1252,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 629.83723521013178, 'mass': 4.5e-26}]",3,1,False,7.41443634381e-09,1
4087,9.62242295093e-10,651.199476908,2.55818953189e-19,617.629926523,102077.026513,69.2,1330,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 629.83723521013178, 'mass': 4.5e-26}]",3,1,False,7.41443634381e-09,1
4012,9.44584313167e-10,684.717419627,2.55818953189e-19,617.629926523,102188.810169,70.45,1349,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 629.83723521013178, 'mass': 4.5e-26}]",3,1,False,7.41443634381e-09,1
4104,9.66244770996e-10,696.660308531,2.55818953189e-19,617.629926523,102103.02424,68.95,1301,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 629.83723521013178, 'mass': 4.5e-26}]",3,1,False,7.41443634381e-09,1

